HITId,Expiration,AssignmentId,WorkerId,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.img1,Input.img2,Input.img3,Input.img4,Input.img5,Input.img6,Input.img7,Input.img8,Input.img9,Input.img10,Input.img11,Input.img12,Input.sentence,Answer.Prolific,Answer.sent,Answer.trust,Answer.trust2,Answer.trust3,Answer.trust4,Answer.trust5,Answer.trust6,Answer.trust7,Answer.trust8,Answer.trust9,Answer.trust10,Answer.trust11,Answer.trust12
3CVDZS288H0ENV60WIQE68T5NL4MFE,Sat Jun 19 11:04:06 PDT 2021,35GCEFQ6I5OMSANKHEK82LW8W8D3Z2,A2XFO0X6RCS98M,Sat Jun 12 11:16:30 PDT 2021,Sat Jun 12 11:26:02 PDT 2021,Tue Jun 15 11:26:02 PDT 2021,Sun Jun 13 04:13:03 PDT 2021,,,572,100% (70/70),100% (70/70),100% (70/70),https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PB-MB-dd06-gr00-pa01-sano-bw6-bov-bs000-e00a1-ftse-fs16-llur-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PB-CL-dd06-gr00-pano-sano-bw6-boh-bs000-e00a0-ftse-fs16-llur-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PB-MB-dd06-gr00-pa05-sano-bw6-boh-bs000-e10a1-ftse-fs16-llur-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PB-CL-dd06-gr00-pa03-sano-bw6-bov-bs000-e11a1-ftse-fs16-llur-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PB-CL-dd06-gr00-pano-sa00-bw6-boh-bs000-e00a1-ftse-fs16-llur-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PD-CL-dd12-dh5-we05-sa00-ro000-pa05-ad09-ftse-fs16-llcr-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PD-CL-dd06-dh5-we05-sano-ro000-pa05-ad09-ftse-fs16-llcr-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PD-CL-dd06-dh5-we05-sa00-ro000-pa01-ad09-ftse-fs16-llcr-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PP-MB-dd06-we05-sano-ro000-pa01-ad09-ftse-fs16-llcr-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PP-MB-dd06-we05-sa00-ro000-pa05-ad09-ftse-fs16-llcr-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PB-CR-dd06-gr00-pano-sano-bw6-bov-bs000-e10a1-ftse-fs16-llur-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PB-CR-dd06-gr00-pano-sano-bw6-bov-bs000-e00a0-ftse-fs16-llur-sm0.png,Sweet potatoes are often orange,A2XFO0X6RCS98M,orange,yes,yes,yes,yes,yes,no,no,no,no,no,yes,yes
3CVDZS288H0ENV60WIQE68T5NL4MFE,Sat Jun 19 11:04:06 PDT 2021,3H7Z272LX779UAB30BQ679OBMV6LPM,A4UQGTDL5BM4N,Sat Jun 12 11:38:28 PDT 2021,Sat Jun 12 11:40:57 PDT 2021,Tue Jun 15 11:40:57 PDT 2021,Sun Jun 13 04:13:03 PDT 2021,,,149,100% (1/1),100% (1/1),100% (1/1),https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PB-MB-dd06-gr00-pa01-sano-bw6-bov-bs000-e00a1-ftse-fs16-llur-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PB-CL-dd06-gr00-pano-sano-bw6-boh-bs000-e00a0-ftse-fs16-llur-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PB-MB-dd06-gr00-pa05-sano-bw6-boh-bs000-e10a1-ftse-fs16-llur-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PB-CL-dd06-gr00-pa03-sano-bw6-bov-bs000-e11a1-ftse-fs16-llur-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PB-CL-dd06-gr00-pano-sa00-bw6-boh-bs000-e00a1-ftse-fs16-llur-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PD-CL-dd12-dh5-we05-sa00-ro000-pa05-ad09-ftse-fs16-llcr-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PD-CL-dd06-dh5-we05-sano-ro000-pa05-ad09-ftse-fs16-llcr-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PD-CL-dd06-dh5-we05-sa00-ro000-pa01-ad09-ftse-fs16-llcr-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PP-MB-dd06-we05-sano-ro000-pa01-ad09-ftse-fs16-llcr-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PP-MB-dd06-we05-sa00-ro000-pa05-ad09-ftse-fs16-llcr-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PB-CR-dd06-gr00-pano-sano-bw6-bov-bs000-e10a1-ftse-fs16-llur-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PB-CR-dd06-gr00-pano-sano-bw6-bov-bs000-e00a0-ftse-fs16-llur-sm0.png,Sweet potatoes are often orange,A4UQGTDL5BM4N,orange,yes,no,yes,no,no,yes,yes,yes,yes,no,no,yes
3CVDZS288H0ENV60WIQE68T5NL4MFE,Sat Jun 19 11:04:06 PDT 2021,3PJ71Z61R42BCGRSQCCQ14FIJLB19T,A1LQLQ0KZQLIO8,Sat Jun 12 11:18:49 PDT 2021,Sat Jun 12 11:25:41 PDT 2021,Tue Jun 15 11:25:41 PDT 2021,Sun Jun 13 04:13:04 PDT 2021,,,412,100% (34/34),100% (34/34),100% (34/34),https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PB-MB-dd06-gr00-pa01-sano-bw6-bov-bs000-e00a1-ftse-fs16-llur-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PB-CL-dd06-gr00-pano-sano-bw6-boh-bs000-e00a0-ftse-fs16-llur-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PB-MB-dd06-gr00-pa05-sano-bw6-boh-bs000-e10a1-ftse-fs16-llur-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PB-CL-dd06-gr00-pa03-sano-bw6-bov-bs000-e11a1-ftse-fs16-llur-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PB-CL-dd06-gr00-pano-sa00-bw6-boh-bs000-e00a1-ftse-fs16-llur-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PD-CL-dd12-dh5-we05-sa00-ro000-pa05-ad09-ftse-fs16-llcr-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PD-CL-dd06-dh5-we05-sano-ro000-pa05-ad09-ftse-fs16-llcr-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PD-CL-dd06-dh5-we05-sa00-ro000-pa01-ad09-ftse-fs16-llcr-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PP-MB-dd06-we05-sano-ro000-pa01-ad09-ftse-fs16-llcr-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PP-MB-dd06-we05-sa00-ro000-pa05-ad09-ftse-fs16-llcr-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PB-CR-dd06-gr00-pano-sano-bw6-bov-bs000-e10a1-ftse-fs16-llur-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PB-CR-dd06-gr00-pano-sano-bw6-bov-bs000-e00a0-ftse-fs16-llur-sm0.png,Sweet potatoes are often orange,A1LQLQ0KZQLIO8,orange,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes
3CVDZS288H0ENV60WIQE68T5NL4MFE,Sat Jun 19 11:04:06 PDT 2021,3SUWZRL0MYDNEYJ64T4TOE7AIT56E4,A3FPBLKQZ3U2WP,Sat Jun 12 11:37:28 PDT 2021,Sat Jun 12 11:52:28 PDT 2021,Tue Jun 15 11:52:28 PDT 2021,Sun Jun 13 04:13:03 PDT 2021,,,900,100% (26/26),100% (26/26),100% (26/26),https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PB-MB-dd06-gr00-pa01-sano-bw6-bov-bs000-e00a1-ftse-fs16-llur-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PB-CL-dd06-gr00-pano-sano-bw6-boh-bs000-e00a0-ftse-fs16-llur-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PB-MB-dd06-gr00-pa05-sano-bw6-boh-bs000-e10a1-ftse-fs16-llur-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PB-CL-dd06-gr00-pa03-sano-bw6-bov-bs000-e11a1-ftse-fs16-llur-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PB-CL-dd06-gr00-pano-sa00-bw6-boh-bs000-e00a1-ftse-fs16-llur-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PD-CL-dd12-dh5-we05-sa00-ro000-pa05-ad09-ftse-fs16-llcr-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PD-CL-dd06-dh5-we05-sano-ro000-pa05-ad09-ftse-fs16-llcr-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PD-CL-dd06-dh5-we05-sa00-ro000-pa01-ad09-ftse-fs16-llcr-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PP-MB-dd06-we05-sano-ro000-pa01-ad09-ftse-fs16-llcr-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PP-MB-dd06-we05-sa00-ro000-pa05-ad09-ftse-fs16-llcr-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PB-CR-dd06-gr00-pano-sano-bw6-bov-bs000-e10a1-ftse-fs16-llur-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PB-CR-dd06-gr00-pano-sano-bw6-bov-bs000-e00a0-ftse-fs16-llur-sm0.png,Sweet potatoes are often orange,A3FPBLKQZ3U2WP,orange,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes
3CVDZS288H0ENV60WIQE68T5NL4MFE,Sat Jun 19 11:04:06 PDT 2021,3X3OR7WPZZ0OOICMEUOVLNTLXLUL8Q,AKQAI78JTXXC9,Sat Jun 12 11:11:53 PDT 2021,Sat Jun 12 11:35:56 PDT 2021,Tue Jun 15 11:35:56 PDT 2021,Sun Jun 13 04:13:02 PDT 2021,,,1443,100% (75/75),100% (75/75),100% (75/75),https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PB-MB-dd06-gr00-pa01-sano-bw6-bov-bs000-e00a1-ftse-fs16-llur-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PB-CL-dd06-gr00-pano-sano-bw6-boh-bs000-e00a0-ftse-fs16-llur-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PB-MB-dd06-gr00-pa05-sano-bw6-boh-bs000-e10a1-ftse-fs16-llur-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PB-CL-dd06-gr00-pa03-sano-bw6-bov-bs000-e11a1-ftse-fs16-llur-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PB-CL-dd06-gr00-pano-sa00-bw6-boh-bs000-e00a1-ftse-fs16-llur-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PD-CL-dd12-dh5-we05-sa00-ro000-pa05-ad09-ftse-fs16-llcr-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PD-CL-dd06-dh5-we05-sano-ro000-pa05-ad09-ftse-fs16-llcr-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PD-CL-dd06-dh5-we05-sa00-ro000-pa01-ad09-ftse-fs16-llcr-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PP-MB-dd06-we05-sano-ro000-pa01-ad09-ftse-fs16-llcr-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PP-MB-dd06-we05-sa00-ro000-pa05-ad09-ftse-fs16-llcr-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PB-CR-dd06-gr00-pano-sano-bw6-bov-bs000-e10a1-ftse-fs16-llur-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PB-CR-dd06-gr00-pano-sano-bw6-bov-bs000-e00a0-ftse-fs16-llur-sm0.png,Sweet potatoes are often orange,AKQAI78JTXXC9,orange,no,no,no,no,no,yes,yes,yes,yes,yes,no,no
36FFXPMST9OM1UII4OTR1XUNY0WHOM,Sat Jun 19 11:04:09 PDT 2021,3CTOC39K37QETEJ314KCR8KYICK7JO,A25YHJE4ME90MI,Sat Jun 12 11:12:43 PDT 2021,Sat Jun 12 11:14:21 PDT 2021,Tue Jun 15 11:14:21 PDT 2021,Sun Jun 13 04:13:03 PDT 2021,,,98,100% (16/16),100% (16/16),100% (16/16),https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PB-CL-dd06-gr00-pa01-sano-bw6-bov-bs000-e11a1-ftse-fs16-llur-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PB-MG-dd06-gr00-pa01-sa00-bw6-boh-bs000-e10a1-ftse-fs16-llur-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PB-CL-dd06-gr00-pa01-sa00-bw6-boh-bs000-e00a1-ftse-fs16-llur-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PB-MB-dd06-gr00-pa01-sa00-bw6-boh-bs000-e00a1-ftse-fs16-llur-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PB-MG-dd06-gr00-pa05-sa00-bw6-bov-bs000-e00a1-ftse-fs16-llur-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PD-MG-dd02-dh5-we05-sa00-ro000-pa05-ad09-ftse-fs16-llcr-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PD-MG-dd06-dh5-we05-sano-ro000-pa01-ad09-ftse-fs16-llcr-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PD-CR-dd02-dh5-we05-sano-ro000-pa03-ad09-ftse-fs16-llcr-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PP-MG-dd06-we05-sano-ro000-pa03-ad09-ftse-fs16-llcr-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PP-MG-dd06-we05-sa00-ro000-pa05-ad09-ftse-fs16-llcr-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PD-MB-dd06-dh5-we05-sano-ro000-pa01-ad09-ftse-fs16-llcr-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PP-MB-dd02-we05-sa00-ro000-pano-ad09-ftse-fs16-llcr-sm0.png,The traffic light turned green,A25YHJE4ME90MI,green,yes,no,yes,no,yes,yes,no,yes,yes,yes,no,yes
36FFXPMST9OM1UII4OTR1XUNY0WHOM,Sat Jun 19 11:04:09 PDT 2021,3FK0YFF9PZGPVZKT0R1B0ABVZHXVVO,AKQAI78JTXXC9,Sat Jun 12 11:11:42 PDT 2021,Sat Jun 12 11:25:37 PDT 2021,Tue Jun 15 11:25:37 PDT 2021,Sun Jun 13 04:13:03 PDT 2021,,,835,100% (75/75),100% (75/75),100% (75/75),https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PB-CL-dd06-gr00-pa01-sano-bw6-bov-bs000-e11a1-ftse-fs16-llur-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PB-MG-dd06-gr00-pa01-sa00-bw6-boh-bs000-e10a1-ftse-fs16-llur-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PB-CL-dd06-gr00-pa01-sa00-bw6-boh-bs000-e00a1-ftse-fs16-llur-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PB-MB-dd06-gr00-pa01-sa00-bw6-boh-bs000-e00a1-ftse-fs16-llur-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PB-MG-dd06-gr00-pa05-sa00-bw6-bov-bs000-e00a1-ftse-fs16-llur-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PD-MG-dd02-dh5-we05-sa00-ro000-pa05-ad09-ftse-fs16-llcr-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PD-MG-dd06-dh5-we05-sano-ro000-pa01-ad09-ftse-fs16-llcr-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PD-CR-dd02-dh5-we05-sano-ro000-pa03-ad09-ftse-fs16-llcr-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PP-MG-dd06-we05-sano-ro000-pa03-ad09-ftse-fs16-llcr-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PP-MG-dd06-we05-sa00-ro000-pa05-ad09-ftse-fs16-llcr-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PD-MB-dd06-dh5-we05-sano-ro000-pa01-ad09-ftse-fs16-llcr-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PP-MB-dd02-we05-sa00-ro000-pano-ad09-ftse-fs16-llcr-sm0.png,The traffic light turned green,AKQAI78JTXXC9,green,no,no,no,no,no,no,yes,no,yes,yes,yes,no
36FFXPMST9OM1UII4OTR1XUNY0WHOM,Sat Jun 19 11:04:09 PDT 2021,3R6BYFZZP7CS3R3Y0RXP695URXEXF0,A3ESGPR6Z4LWTD,Sat Jun 12 11:04:57 PDT 2021,Sat Jun 12 11:14:34 PDT 2021,Tue Jun 15 11:14:34 PDT 2021,Sun Jun 13 04:13:03 PDT 2021,,,577,100% (2/2),100% (2/2),100% (2/2),https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PB-CL-dd06-gr00-pa01-sano-bw6-bov-bs000-e11a1-ftse-fs16-llur-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PB-MG-dd06-gr00-pa01-sa00-bw6-boh-bs000-e10a1-ftse-fs16-llur-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PB-CL-dd06-gr00-pa01-sa00-bw6-boh-bs000-e00a1-ftse-fs16-llur-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PB-MB-dd06-gr00-pa01-sa00-bw6-boh-bs000-e00a1-ftse-fs16-llur-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PB-MG-dd06-gr00-pa05-sa00-bw6-bov-bs000-e00a1-ftse-fs16-llur-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PD-MG-dd02-dh5-we05-sa00-ro000-pa05-ad09-ftse-fs16-llcr-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PD-MG-dd06-dh5-we05-sano-ro000-pa01-ad09-ftse-fs16-llcr-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PD-CR-dd02-dh5-we05-sano-ro000-pa03-ad09-ftse-fs16-llcr-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PP-MG-dd06-we05-sano-ro000-pa03-ad09-ftse-fs16-llcr-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PP-MG-dd06-we05-sa00-ro000-pa05-ad09-ftse-fs16-llcr-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PD-MB-dd06-dh5-we05-sano-ro000-pa01-ad09-ftse-fs16-llcr-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PP-MB-dd02-we05-sa00-ro000-pano-ad09-ftse-fs16-llcr-sm0.png,The traffic light turned green,A3ESGPR6Z4LWTD,green,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
36FFXPMST9OM1UII4OTR1XUNY0WHOM,Sat Jun 19 11:04:09 PDT 2021,3YJ6NA41JBG3ZKN3XQETRUBJI5NJP2,A33TMM5YWN0Q67,Sat Jun 12 11:04:54 PDT 2021,Sat Jun 12 11:15:36 PDT 2021,Tue Jun 15 11:15:36 PDT 2021,Sun Jun 13 04:13:04 PDT 2021,,,642,100% (2/2),100% (2/2),100% (2/2),https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PB-CL-dd06-gr00-pa01-sano-bw6-bov-bs000-e11a1-ftse-fs16-llur-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PB-MG-dd06-gr00-pa01-sa00-bw6-boh-bs000-e10a1-ftse-fs16-llur-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PB-CL-dd06-gr00-pa01-sa00-bw6-boh-bs000-e00a1-ftse-fs16-llur-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PB-MB-dd06-gr00-pa01-sa00-bw6-boh-bs000-e00a1-ftse-fs16-llur-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PB-MG-dd06-gr00-pa05-sa00-bw6-bov-bs000-e00a1-ftse-fs16-llur-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PD-MG-dd02-dh5-we05-sa00-ro000-pa05-ad09-ftse-fs16-llcr-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PD-MG-dd06-dh5-we05-sano-ro000-pa01-ad09-ftse-fs16-llcr-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PD-CR-dd02-dh5-we05-sano-ro000-pa03-ad09-ftse-fs16-llcr-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PP-MG-dd06-we05-sano-ro000-pa03-ad09-ftse-fs16-llcr-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PP-MG-dd06-we05-sa00-ro000-pa05-ad09-ftse-fs16-llcr-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PD-MB-dd06-dh5-we05-sano-ro000-pa01-ad09-ftse-fs16-llcr-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PP-MB-dd02-we05-sa00-ro000-pano-ad09-ftse-fs16-llcr-sm0.png,The traffic light turned green,A33TMM5YWN0Q67,green,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
36FFXPMST9OM1UII4OTR1XUNY0WHOM,Sat Jun 19 11:04:09 PDT 2021,3Z4XG4ZF48RJOCTBSDRJWHO84T28XV,A1IWRYUOVXAB0Z,Sat Jun 12 12:05:18 PDT 2021,Sat Jun 12 12:09:53 PDT 2021,Tue Jun 15 12:09:53 PDT 2021,Sun Jun 13 04:13:04 PDT 2021,,,275,100% (1/1),100% (1/1),100% (1/1),https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PB-CL-dd06-gr00-pa01-sano-bw6-bov-bs000-e11a1-ftse-fs16-llur-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PB-MG-dd06-gr00-pa01-sa00-bw6-boh-bs000-e10a1-ftse-fs16-llur-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PB-CL-dd06-gr00-pa01-sa00-bw6-boh-bs000-e00a1-ftse-fs16-llur-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PB-MB-dd06-gr00-pa01-sa00-bw6-boh-bs000-e00a1-ftse-fs16-llur-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PB-MG-dd06-gr00-pa05-sa00-bw6-bov-bs000-e00a1-ftse-fs16-llur-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PD-MG-dd02-dh5-we05-sa00-ro000-pa05-ad09-ftse-fs16-llcr-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PD-MG-dd06-dh5-we05-sano-ro000-pa01-ad09-ftse-fs16-llcr-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PD-CR-dd02-dh5-we05-sano-ro000-pa03-ad09-ftse-fs16-llcr-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PP-MG-dd06-we05-sano-ro000-pa03-ad09-ftse-fs16-llcr-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PP-MG-dd06-we05-sa00-ro000-pa05-ad09-ftse-fs16-llcr-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PD-MB-dd06-dh5-we05-sano-ro000-pa01-ad09-ftse-fs16-llcr-sm0.png,https://raw.githubusercontent.com/data-stories/chart-experiment/refactoring/selected-charts-resized/PP-MB-dd02-we05-sa00-ro000-pano-ad09-ftse-fs16-llcr-sm0.png,The traffic light turned green,A1IWRYUOVXAB0Z,green,yes,yes,yes,yes,yes,no,yes,no,yes,yes,yes,no
