,pie,donut,bar,total
0,130,424,301,855
1,130,424,301,855
2,130,424,301,855
3,130,340,301,771
4,130,340,301,771
5,130,340,303,773
6,130,340,303,773
7,130,340,303,773
8,130,340,303,773
9,130,340,303,773
10,130,340,303,773
11,130,340,303,773
12,130,340,303,773
13,130,340,303,773
14,129,339,303,771
15,129,339,343,811
16,129,339,343,811
17,129,339,343,811
18,129,339,343,811
19,129,339,343,811
20,129,339,343,811
21,129,339,343,811
22,129,339,343,811
23,129,339,343,811
24,129,339,343,811
25,129,339,343,811
26,129,339,343,811
27,129,339,343,811
28,129,339,343,811
29,129,339,343,811
30,129,339,343,811
31,129,339,343,811
32,129,339,343,811
33,129,339,343,811
34,129,298,343,770
35,124,298,343,765
36,88,298,343,729
37,88,298,343,729
38,88,297,343,728
39,88,297,343,728
40,88,297,343,728
41,88,297,343,728
42,88,297,343,728
43,88,297,343,728
44,88,256,343,687
45,88,256,343,687
46,88,256,344,688
47,88,256,344,688
48,88,256,373,717
49,88,256,373,717
50,88,255,373,716
51,88,255,373,716
52,88,255,373,716
53,88,255,373,716
54,88,255,385,728
55,88,255,385,728
56,88,255,385,728
57,88,255,385,728
58,88,255,385,728
59,87,255,385,727
60,87,255,385,727
61,87,255,385,727
62,87,255,385,727
63,87,255,385,727
64,87,214,385,686
65,87,214,385,686
66,87,214,385,686
67,87,214,385,686
68,87,214,385,686
69,87,214,385,686
70,87,214,385,686
71,87,214,415,716
72,87,214,415,716
73,87,214,427,728
74,87,214,427,728
75,87,214,427,728
76,87,214,427,728
77,87,214,427,728
78,84,214,427,725
79,75,214,427,716
80,69,214,427,710
81,46,214,427,687
82,46,214,439,699
83,46,214,439,699
84,46,214,439,699
85,46,214,439,699
86,46,214,456,716
87,46,214,469,729
88,46,214,469,729
89,46,214,469,729
90,46,214,523,783
91,46,214,523,783
92,46,214,594,854
93,46,214,595,855
94,46,214,595,855
95,46,214,595,855
96,46,214,595,855
97,46,214,595,855
98,46,214,595,855
99,46,214,595,855
